確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2022,1,台中市,北屯區,F,否,20,1
嚴重特殊傳染性肺炎,2022,1,台中市,沙鹿區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,台北市,士林區,F,否,20,1
嚴重特殊傳染性肺炎,2022,1,台北市,大同區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,台北市,信義區,F,否,25,1
嚴重特殊傳染性肺炎,2022,1,台北市,大同區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,台北市,松山區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,台北市,萬華區,F,否,40,1
嚴重特殊傳染性肺炎,2022,1,台北市,北投區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,台北市,南港區,F,否,45,1
嚴重特殊傳染性肺炎,2022,1,台北市,內湖區,F,否,50,1
嚴重特殊傳染性肺炎,2022,1,台北市,北投區,F,否,50,1
嚴重特殊傳染性肺炎,2022,1,台北市,士林區,F,否,55,1
嚴重特殊傳染性肺炎,2022,1,台北市,內湖區,F,否,5,1
嚴重特殊傳染性肺炎,2022,1,台北市,松山區,F,否,5,2
嚴重特殊傳染性肺炎,2022,1,台北市,北投區,F,否,70,1
嚴重特殊傳染性肺炎,2022,1,台北市,文山區,M,否,20,3
嚴重特殊傳染性肺炎,2022,1,台北市,士林區,M,否,25,1
嚴重特殊傳染性肺炎,2022,1,台北市,中山區,M,否,25,1
嚴重特殊傳染性肺炎,2022,1,台北市,北投區,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,台北市,內湖區,M,否,40,1
嚴重特殊傳染性肺炎,2022,1,台北市,內湖區,M,否,5,1
嚴重特殊傳染性肺炎,2022,1,台北市,北投區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,台北市,中山區,M,否,65,1
嚴重特殊傳染性肺炎,2022,1,台南市,永康區,F,否,35,1
嚴重特殊傳染性肺炎,2022,1,台南市,善化區,F,否,55,1
嚴重特殊傳染性肺炎,2022,1,台南市,中西區,F,否,70,1
嚴重特殊傳染性肺炎,2022,1,台南市,善化區,M,否,60,1
嚴重特殊傳染性肺炎,2022,1,宜蘭縣,礁溪鄉,F,否,20,2
嚴重特殊傳染性肺炎,2022,1,宜蘭縣,礁溪鄉,M,否,15,1
嚴重特殊傳染性肺炎,2022,1,宜蘭縣,礁溪鄉,M,否,20,1
嚴重特殊傳染性肺炎,2022,1,宜蘭縣,礁溪鄉,M,否,30,1
嚴重特殊傳染性肺炎,2022,1,宜蘭縣,宜蘭市,M,否,35,1
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,0,6
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,1,3
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,10,11
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,15,6
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,2,2
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,20,79
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,25,108
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,3,3
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,30,113
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,35,56
嚴重特殊傳染性肺炎,2022,1,空值,空值,F,是,4,2
